card__link href,card__image src,card__size,card__title,card__button,brand_name,brand_country,brand_description
"https://cigarday.ru/sigary/hoyo-de-monterrey/hoyo-de-monterrey-palmas-extra/","https://cigarday.ru/images/cms/thumbs/c82328f9e81d9f374dc9db6df8bbd97ac965467c/palmas-extra-hoyo-de-mont_auto_56_png_5_80.png","140 мм × 40 RG","Hoyo De Monterrey Palmas Extra","1 540 ₽","Hoyo De Monterrey","Cuba","Кубинский бренд, основанный в 1865 году. Известен своими мягкими и элегантными сигарами."
"https://cigarday.ru/sigary/quai-d-orsay/quai-d-orsay-acuerdo-edici-n-regional-rusia-2020/","https://cigarday.ru/images/cms/thumbs/7a5bdbdac314409d6277a8d1fd2f7d610c4f76fb/quai_d_orsay_acuerdo_edici_n_regional_rusia_2020_auto_56_png_5_80.png","125 мм × 52 RG","Quai d'Orsay Acuerdo Edición Regional Rusia 2020","5 500 ₽","Quai d'Orsay","Cuba","Кубинский бренд, созданный в 1973 году специально для французского рынка. Известен своими элегантными сигарами."
"https://cigarday.ru/sigary/bossner/bossner-baron/","https://cigarday.ru/images/cms/thumbs/b8ad98d859e4a9a2ab795c9ceac4d4f5f289dcc1/bossner_baron_auto_56_png_5_80.png","152 мм × 60 RG","Bossner Baron","3 750 ₽","Bossner","Germany","Немецкий бренд, производящий сигары с европейскими традициями."
"https://cigarday.ru/sigary/hoyo-de-monterrey/hoyo-de-monterrey-elegantes/","https://cigarday.ru/images/cms/thumbs/2d5d8ad7e88c255780b888c6f35b1711925dd704/main_auto_56_png_5_80.png","158 мм × 47 RG","Hoyo De Monterrey Elegantes (La Casa del Habano)","2 500 ₽","Hoyo De Monterrey","Cuba","Кубинский бренд, основанный в 1865 году. Известен своими мягкими и элегантными сигарами."
"https://cigarday.ru/sigary/montecristo/montecristo-eagle/","https://cigarday.ru/images/cms/thumbs/81bddfd8eb63e371ada504218f7a74cd26b4793f/main_auto_56_png_5_80.png","150 мм × 54 RG","Montecristo Eagle","3 440 ₽","Montecristo","Cuba","Один из самых известных кубинских брендов сигар, основанный в 1935 году. Назван в честь романа Александра Дюма."
"https://cigarday.ru/sigary/rey-del-mundo/rey-del-mundo-demi-tasse/","https://cigarday.ru/images/cms/thumbs/302afc35f75ef248c2d1bb9d1c3ba00b99ef7921/main_2_auto_56_png_5_80.png","100 мм × 30 RG","Rey Del Mundo Demi Tasse","1 170 ₽","Rey Del Mundo","Cuba","Кубинский бренд, основанный в 1848 году. Известен своими традиционными методами производства."
"https://cigarday.ru/sigary/siglo-de-oro/siglo_de_oro_tarde/","https://cigarday.ru/images/cms/thumbs/d9da113ee27151268deb9aeaec151c92dcf5b51d/8_auto_56_png_5_80.png","150 мм × 55 RG","Siglo de Oro Tarde","1 450 ₽","Siglo de Oro","Cuba","Кубинский бренд, производящий премиальные сигары с золотым веком кубинских сигар."
"https://cigarday.ru/sigary/oliva/oliva_serie_v_melanio_robusto/","https://cigarday.ru/images/cms/thumbs/321ff7ec37508efb9f5fd2fca125578e3667ada5/1_auto_56_png_5_80.png","127 мм × 52 RG","Oliva Serie "V" Melanio Robusto","2 610 ₽","Oliva","Nicaragua","Никарагуанский бренд, основанный в 1886 году. Известен своими качественными сигарами."
"https://cigarday.ru/sigary/trinidad/trinidad-reyes/","https://cigarday.ru/images/cms/thumbs/76cd58fe6bed29a05a210d9a1cfa49e9fc1c855a/main_auto_56_png_5_80.png","110 мм × 40 RG","Trinidad Reyes","3 590 ₽","Trinidad","Cuba","Элитный кубинский бренд, созданный в 1969 году. Производит ограниченные серии высококачественных сигар."
"https://cigarday.ru/sigary/trinidad/trinidad-la-trova/","https://cigarday.ru/images/cms/thumbs/0f2c9879397c0f77a063ae4968ac2835cc84cbd8/trinidad-la-trova_auto_56_png_5_80.png","166 мм × 52 RG","Trinidad La Trova (La Casa del Habano)","11 300 ₽","Trinidad","Cuba","Элитный кубинский бренд, созданный в 1969 году. Производит ограниченные серии высококачественных сигар."
"https://cigarday.ru/sigary/nub/nub_cameroon_460/","https://cigarday.ru/images/cms/thumbs/8dd3e2278230e8f6bc75f705303c4fdb4f44cc29/1_auto_56_png_5_80.png","102 мм × 60 RG","NUB Cameroon 460","1 890 ₽","NUB","Nicaragua","Никарагуанский бренд, производящий короткие сигары с интенсивными вкусами."
"https://cigarday.ru/sigary/h-upmann/h-upmann-magnum-50/","https://cigarday.ru/images/cms/thumbs/118e2cf131b412baafece5b32455652ade78087d/main_auto_56_png_5_80.png","160 мм × 50 RG","H.Upmann Magnum 50","3 150 ₽","H.Upmann","Cuba","Кубинский бренд, основанный в 1844 году. Известен своими сложными и изысканными вкусами."
"https://cigarday.ru/sigary/davidoff/davidoff_royal_release_salomones/","https://cigarday.ru/images/cms/thumbs/b703dcd63c84e31214ecc27bdcc3568ba18a03f8/1_auto_56_png_5_80.png","210 мм × 51 RG","Davidoff Royal Release Salomones","17 550 ₽","Davidoff","Dominican Republic","Швейцарский бренд, производящий сигары в Доминиканской Республике. Известен своим премиальным качеством."
"https://cigarday.ru/sigary/fonseca/fonseca-kdt-cadetes/","https://cigarday.ru/images/cms/thumbs/12bbe1cfe9f438c365ec5192e422dd130ef7acea/main_auto_56_png_5_80.png","115 мм × 36 RG","Fonseca KDT Cadetes","1 190 ₽","Fonseca","Cuba","Кубинский бренд, основанный в 1906 году. Известен своими мягкими и ароматными сигарами."
"https://cigarday.ru/sigary/cohiba/cohiba-talisman-edicion-limitada-2017/","https://cigarday.ru/images/cms/thumbs/b8c6c7955dba7027f13a0a378b3d6c3d2a961cc1/talisman_auto_56_png_5_80.png","154 мм × 54 RG","Cohiba Talisman 2017","25 000 ₽","Cohiba","Cuba","Премиальный кубинский бренд сигар, созданный в 1966 году. Известен своим исключительным качеством и сложными вкусами."
"https://cigarday.ru/sigary/davidoff/davidoff_wsc_belicoso/","https://cigarday.ru/images/cms/thumbs/b38bbfcda46a7cafc2483dec227b4be816ee4d8a/davidoff-belicoso_auto_56_jpg_5_80.jpg","114 мм × 46 RG","Davidoff WSC Belicoso","2 150 ₽","Davidoff","Dominican Republic","Швейцарский бренд, производящий сигары в Доминиканской Республике. Известен своим премиальным качеством."
"https://cigarday.ru/sigary/h-upmann/h-upmann-coronas-major-a-t/","https://cigarday.ru/images/cms/thumbs/6305785ca85e70aa57a40440cf5222b4ad4f08d8/main_auto_56_png_5_80.png","132 мм × 42 RG","H.Upmann Coronas Major A/T","1 610 ₽","H.Upmann","Cuba","Кубинский бренд, основанный в 1844 году. Известен своими сложными и изысканными вкусами."
"https://cigarday.ru/sigary/gurkha/gurkha_18_solara_double_robusto/","https://cigarday.ru/images/cms/thumbs/019f9ee35b4781d97051c95640634574accb79d1/pattern_auto_56_png_5_80.png","127 мм × 58 RG","Gurkha Cellar Reserve 18 Solara Double Robusto","2 480 ₽","Gurkha","Dominican Republic","Американский бренд, производящий сигары в Доминиканской Республике. Известен своими премиальными сигарами."
"https://cigarday.ru/sigary/partagas/partagas-serie-d-5/","https://cigarday.ru/images/cms/thumbs/56bf32769411636087127e418dc964a0cb6b9c98/main_auto_56_png_5_80.png","110 мм × 50 RG","Partagas Serie D №5","2 170 ₽","Partagas","Cuba","Кубинский бренд, основанный в 1845 году. Известен своими крепкими и ароматными сигарами."
"https://cigarday.ru/sigary/ramon-allones/ramon-allones-allones-superiores/","https://cigarday.ru/images/cms/thumbs/e3201b4c1a092e974377b815e682cbacfa2c8a27/main_auto_56_png_5_80.png","143 мм × 46 RG","Ramon Allones Allones Superiores (La Casa del Habano)","2 150 ₽","Ramon Allones","Cuba","Кубинский бренд, основанный в 1837 году. Один из старейших брендов с богатой историей."
"https://cigarday.ru/sigary/davidoff/davidoff_aniversario_short_perfecto/","","121 мм × 52 RG","Davidoff Aniversario Short Perfecto","3 560 ₽","Davidoff","Dominican Republic","Швейцарский бренд, производящий сигары в Доминиканской Республике. Известен своим премиальным качеством."
"https://cigarday.ru/sigary/montecristo/montecristo-5/","","102 мм × 42 RG","Montecristo №5","1 700 ₽","Montecristo","Cuba","Один из самых известных кубинских брендов сигар, основанный в 1935 году. Назван в честь романа Александра Дюма."
"https://cigarday.ru/sigary/hoyo-de-monterrey/hoyo_de_monterrey_rio_seco/","","140 мм × 56 RG","Hoyo De Monterrey Le Hoyo Rio Seco","3 270 ₽","Hoyo De Monterrey","Cuba","Кубинский бренд, основанный в 1865 году. Известен своими мягкими и элегантными сигарами."
"https://cigarday.ru/sigary/davidoff/davidoff_aniversario_short_perfecto/","https://cigarday.ru/images/cms/thumbs/07d82f61649bdb59aabd4333b4eb416aa06d5d65/pattern_auto_56_png_5_80.png","121 мм × 52 RG","Davidoff Aniversario Short Perfecto","3 560 ₽","Davidoff","Dominican Republic","Швейцарский бренд, производящий сигары в Доминиканской Республике. Известен своим премиальным качеством."
"https://cigarday.ru/sigary/montecristo/montecristo-5/","https://cigarday.ru/images/cms/thumbs/b7627e83dd35571902d3105afebd067125467512/main_auto_56_png_5_80.png","102 мм × 42 RG","Montecristo №5","1 700 ₽","Montecristo","Cuba","Один из самых известных кубинских брендов сигар, основанный в 1935 году. Назван в честь романа Александра Дюма."
"https://cigarday.ru/sigary/hoyo-de-monterrey/hoyo_de_monterrey_rio_seco/","https://cigarday.ru/images/cms/thumbs/decf9e370ef3e720871a620779e3f451c743b79d/pattern1_auto_56_png_5_80.png","140 мм × 56 RG","Hoyo De Monterrey Le Hoyo Rio Seco","3 270 ₽","Hoyo De Monterrey","Cuba","Кубинский бренд, основанный в 1865 году. Известен своими мягкими и элегантными сигарами."
"https://cigarday.ru/sigary/ramon-allones/ramon-allones-small-club-coronas/","https://cigarday.ru/images/cms/thumbs/40823a77f1d713f135c737120250d2b8216f189d/main_auto_56_png_5_80.png","110 мм × 42 RG","Ramon Allones Small Club Coronas","1 510 ₽","Ramon Allones","Cuba","Кубинский бренд, основанный в 1837 году. Один из старейших брендов с богатой историей."
"https://cigarday.ru/sigary/cohiba/cohiba-bhk56/","https://cigarday.ru/images/cms/thumbs/ddc28f50822c8eafee87ff14cb2e5ea96fd0220f/main_auto_56_png_5_80.png","166 мм × 56 RG","Cohiba BHK56","50 000 ₽","Cohiba","Cuba","Премиальный кубинский бренд сигар, созданный в 1966 году. Известен своим исключительным качеством и сложными вкусами."
"https://cigarday.ru/sigary/zino-platinum/zino_plat_barrel_tubos1/","https://cigarday.ru/images/cms/thumbs/800fce6fb6621cdc1472fa950461896ad1bc3270/1_auto_56_png_5_80.png","140 мм × 52 RG","Zino Platinum Grand Master Tubos","4 050 ₽","Zino Platinum","Dominican Republic","Премиальная линия бренда Zino от Davidoff с эксклюзивными сигарами."
"https://cigarday.ru/sigary/ramon-allones/ramon-allones-allones-speciallynselected/","https://cigarday.ru/images/cms/thumbs/4b21f984b27ced8c8a9e60398362081d3a223a99/main_auto_56_png_5_80.png","124 мм × 50 RG","Ramon Allones Allones Specially Selected","2 170 ₽","Ramon Allones","Cuba","Кубинский бренд, основанный в 1837 году. Один из старейших брендов с богатой историей."
"https://cigarday.ru/sigary/davidoff/davidoff_signature_2000/","https://cigarday.ru/images/cms/thumbs/8b4f78b842cd37e5211da16990b198d80a007783/pattern_auto_56_png_5_80.png","127 мм × 43 RG","Davidoff Signature 2000","3 240 ₽","Davidoff","Dominican Republic","Швейцарский бренд, производящий сигары в Доминиканской Республике. Известен своим премиальным качеством."
"https://cigarday.ru/sigary/montecristo/montecristo-petit-2/","https://cigarday.ru/images/cms/thumbs/d5b9aadcbea8f2f47529cd5a78c345ac5a07588c/main_auto_56_png_5_80.png","120 мм × 52 RG","Montecristo Petit №2","2 540 ₽","Montecristo","Cuba","Один из самых известных кубинских брендов сигар, основанный в 1935 году. Назван в честь романа Александра Дюма."
"https://cigarday.ru/sigary/plasensia/plasensia_res_original_nesticos/","","106 мм × 36 RG","Plasenсia Reserva Original Nestico","1 500 ₽","Plasenсia","Unknown","Информация о бренде недоступна"
"https://cigarday.ru/sigary/trinidad/trinidad-vigia/","","110 мм × 54 RG","Trinidad Vigia","5 340 ₽","Trinidad","Cuba","Элитный кубинский бренд, созданный в 1969 году. Производит ограниченные серии высококачественных сигар."
"https://cigarday.ru/sigary/hoyo-de-monterrey/hoyo-de-mont-le-hoyo-de-san-juan/","","150 мм × 54 RG","Hoyo De Monterrey Le Hoyo De San Juan","3 270 ₽","Hoyo De Monterrey","Cuba","Кубинский бренд, основанный в 1865 году. Известен своими мягкими и элегантными сигарами."
"https://cigarday.ru/sigary/hoyo-de-monterrey/hoyo-de-monterrey-epicure-1/","","143 мм × 46 RG","Hoyo De Monterrey Epicure №1","2 540 ₽","Hoyo De Monterrey","Cuba","Кубинский бренд, основанный в 1865 году. Известен своими мягкими и элегантными сигарами."
"https://cigarday.ru/sigary/davidoff/davidoff_signature_2000_tubos/","","127 мм × 43 RG","Davidoff Signature 2000 Tubos","3 650 ₽","Davidoff","Dominican Republic","Швейцарский бренд, производящий сигары в Доминиканской Республике. Известен своим премиальным качеством."
"https://cigarday.ru/sigary/don-tomas/don_tomas_clasico_natural_robusto/","","140 мм × 50 RG","Don Tomas Clasico Natural Robusto","1 980 ₽","Don Tomas","Dominican Republic","Доминиканский бренд, основанный в 1975 году. Производит доступные сигары с классическими вкусами."
"https://cigarday.ru/sigary/zino/zino-nicaragua-robusto/","","127 мм × 54 RG","Zino Nicaragua Robusto","1 880 ₽","Zino","Dominican Republic","Доминиканский бренд от Davidoff, производящий элегантные сигары."
"https://cigarday.ru/sigary/partagas/partagas-mille-fleurs/","","129 мм × 42 RG","Partagas Mille Fleurs","1 480 ₽","Partagas","Cuba","Кубинский бренд, основанный в 1845 году. Известен своими крепкими и ароматными сигарами."
"https://cigarday.ru/sigary/cohiba/cohiba-robustos-a-t/","","124 мм × 50 RG","Cohiba Robustos A/T","8 820 ₽","Cohiba","Cuba","Премиальный кубинский бренд сигар, созданный в 1966 году. Известен своим исключительным качеством и сложными вкусами."
"https://cigarday.ru/sigary/s-cristobal/s-cristobal-de-la-habana-20-aniversary-la-casa-del-habano-shtuchno/","","162 мм × 52 RG","S.Cristobal De La Habana 20 Aniversary La Casa del Habano","10 000 ₽","S.Cristobal","Cuba","Кубинский бренд, созданный в 1999 году. Назван в честь покровителя Гаваны."
"https://cigarday.ru/sigary/partagas/partagas-serie-d-6/","","90 мм × 50 RG","Partagas Serie D №6","1 850 ₽","Partagas","Cuba","Кубинский бренд, основанный в 1845 году. Известен своими крепкими и ароматными сигарами."
"https://cigarday.ru/sigary/hoyo-de-monterrey/hoyo-de-monterrey-coronations-a-t/","","129 мм × 42 RG","Hoyo De Monterrey Coronations A/T","1 600 ₽","Hoyo De Monterrey","Cuba","Кубинский бренд, основанный в 1865 году. Известен своими мягкими и элегантными сигарами."
"https://cigarday.ru/sigary/nub/nub_cameroon_460_tubos/","","102 мм × 60 RG","NUB Cameroon 460 Tubos","2 140 ₽","NUB","Nicaragua","Никарагуанский бренд, производящий короткие сигары с интенсивными вкусами."
"https://cigarday.ru/sigary/oliva/oliva_serie_v_melanio_figurado/","","165 мм × 52 RG","Oliva Serie "V" Melanio Figurado","3 480 ₽","Oliva","Nicaragua","Никарагуанский бренд, основанный в 1886 году. Известен своими качественными сигарами."
"https://cigarday.ru/sigary/s-cristobal/s-cristobal-de-la-habana-el-principe/","","110 мм × 42 RG","S.Cristobal De La Habana El Principe","1 630 ₽","S.Cristobal","Cuba","Кубинский бренд, созданный в 1999 году. Назван в честь покровителя Гаваны."
"https://cigarday.ru/sigary/punch/punch-48/","","140 мм × 48 RG","Punch 48 (La Casa del Habano)","2 900 ₽","Punch","Unknown","Информация о бренде недоступна"
"https://cigarday.ru/sigary/partagas/partagas-serie-e-2/","","140 мм × 54 RG","Partagas Serie E №2","3 070 ₽","Partagas","Cuba","Кубинский бренд, основанный в 1845 году. Известен своими крепкими и ароматными сигарами."
"https://cigarday.ru/sigary/aj-fernandez/enclave_broadleaf_toro/","","165 мм × 54 RG","AJ Fernandez Enclave Broadleaf Toro","2 100 ₽","AJ Fernandez","Nicaragua","Никарагуанский бренд, основанный A.J. Fernandez. Известен своими крепкими и ароматными сигарами."
"https://cigarday.ru/sigary/plasensia/plasensia_res_original_nesticos/","https://cigarday.ru/images/cms/thumbs/5bb42e172642a869e62517fd2e5e3fa86ef80dd0/plasensia_reserva_original_nestico_auto_56_png_5_80.png","106 мм × 36 RG","Plasenсia Reserva Original Nestico","1 500 ₽","Plasenсia","Unknown","Информация о бренде недоступна"
"https://cigarday.ru/sigary/trinidad/trinidad-vigia/","https://cigarday.ru/images/cms/thumbs/97803a593c9a3d6cad0275952402fd28749ed172/main_auto_56_png_5_80.png","110 мм × 54 RG","Trinidad Vigia","5 340 ₽","Trinidad","Cuba","Элитный кубинский бренд, созданный в 1969 году. Производит ограниченные серии высококачественных сигар."
"https://cigarday.ru/sigary/hoyo-de-monterrey/hoyo-de-mont-le-hoyo-de-san-juan/","https://cigarday.ru/images/cms/thumbs/3c261f1e46b97fce1e488ae3e5d011be51c47d96/main_auto_56_png_5_80.png","150 мм × 54 RG","Hoyo De Monterrey Le Hoyo De San Juan","3 270 ₽","Hoyo De Monterrey","Cuba","Кубинский бренд, основанный в 1865 году. Известен своими мягкими и элегантными сигарами."
"https://cigarday.ru/sigary/hoyo-de-monterrey/hoyo-de-monterrey-epicure-1/","https://cigarday.ru/images/cms/thumbs/6477de184ac4a53e0c1f6ff253026f9af53846d2/hoyo-epicure-no1_auto_56_png_5_80.png","143 мм × 46 RG","Hoyo De Monterrey Epicure №1","2 540 ₽","Hoyo De Monterrey","Cuba","Кубинский бренд, основанный в 1865 году. Известен своими мягкими и элегантными сигарами."
"https://cigarday.ru/sigary/davidoff/davidoff_signature_2000_tubos/","https://cigarday.ru/images/cms/thumbs/8b4f78b842cd37e5211da16990b198d80a007783/pattern2_auto_56_png_5_80.png","127 мм × 43 RG","Davidoff Signature 2000 Tubos","3 650 ₽","Davidoff","Dominican Republic","Швейцарский бренд, производящий сигары в Доминиканской Республике. Известен своим премиальным качеством."
